2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,,96.82264,,,,,,,
,,,31.74112,,,,,,
,,,,,,66.03011,,,
95.93864,,,96.8453,97.24697,,,,,
,,,,,,,100,100,
,,,,,,,,,
,,,,,,,,,
,,,,,,,98.09,,
,,,99.74441,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,99.75984,99.77114,99.77863,99.77577,99.78936,99.78899,99.78806,99.79006,
48.08406,,,,,,61.56973,,,
,,,,,,,,,
,,,,32.94882,,,,,
,,,,,,34.5994,,,
,,,47.07731,,,,,72.75872,
,,,98.35245,,,,,,
,,94.55679,,,,,,,
,,,,,,,,,
,,,98.14204,,96.99177,,,,
,99.61706,,,,,,,,
,,,,,,,,,
,,,,,,,,,
90.69811,91.16783,,92.22615,94.46057,,,92.45508,,
90.03662,90.29821,90.37918,91.41124,91.33785,91.48424,91.72943,,,
,,,,,,,,,
,,,96.08556,,,,,,
,,,,57.0336,,,,,
,,,,,,,,,
,,36.75261,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
98.64901,98.55368,,96.70301,,96.26706,,,,
,,95.12448,,,,,,,
,,,,40.98163,,43.90842,,,
,,71.29051,,,,,,,
,,,,75.01719,,,,77.04268,
,,,79.31117,,,,,,
93.37818,93.24469,93.37233,93.58053,,,94.18625,94.24505,,
,,,,49.19614,,,,,
,,,,85.32779,,,86.79029,,
,,,97.40658,,,,,,
,,,,,,,,,
,,,,99.75253,,,,,
,,,,,,,,,
,,,,,,,,,
,,,98.67843,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,89.53873,90.10638,90.15518,90.85815,91.76376,91.99121,,
75.13605,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,84.20696,91.85404,91.5869,92.06473,93.29463,94.22264,94.45566,94.35023,
,,72.04785,,73.86559,75.06073,,,,
,,,,,,,,,
64.66297,,,,,,,,,
97.63061,97.67927,97.7489,97.78375,97.89454,98.07913,98.09372,98.14326,98.25051,
,,,99.88579,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,82.2838,,,,,
,,,,,,,,,
,,,,,,99.58619,,,
,,71.49707,,,,,,,
,,,,,,,,,
,,25.30774,,,,32.00386,,,
,,,,,41.95005,,,,
,,,,,,45.58116,,,
,,,,,,,,,
,93.90511,,97.12875,,,,,,
,,,,,,,,,
,,,,,,,100,,
,,,,78.26486,77.03867,81.2859,,,
,,,,,,,,,
,84.99401,,,,,85.63973,,,
,,,,,,,,,
,,,,,,,,,
,,84.75536,85.1233,85.35555,85.46442,87.19753,87.90683,88.98748,
,,,,,,,,,
,,,99.12536,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
92.1923,92.5817,,92.81191,,,95.11622,95.21793,95.37697,
,,,,,,,,,
,,,,,,,,,
,,,69.30256,,,,,,
,,,,,,,,,
,,,,,,,,,
82.9623,,,,83.62599,84.6268,84.70524,,,
,,,,,43.68328,,,,
,,,,,,,,,
,,,,,,,,,
,,,98.84828,,,,,,
,,,,,,,,,
,,92.55104,95.90445,97.89032,,,,,
,,,,,,,,,
,99.73241,99.78163,,,,,,,
,,,,,,78.73304,,,
,99.24343,,,,,,,,
77.58654,73.90003,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
93.8983,,94.46901,,95.51317,95.58582,,95.68545,,
,,,,,,,,,
,,,58.28794,,,,,,
,91.18419,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
53.40461,54.6644,54.75829,56.81752,57.95468,58.38585,59.2793,59.75239,60.58161,
,,,,,,,,,
90.55795,,91.18136,,,,,,,
70.7936,71.43398,72.71435,72.24664,74.21019,74.65994,75.36975,75.83826,76.35028,
,,,,,,,,,
,75.8002,,,,,76.6352,,,
,,,,,,,,,
,,,99.8156,,,,,,
,,,,,,,,,
,,,99.8959,,,,,,
,,,95.64004,,,,,96.53849,
,,,,,,,,,
55.14792,56.08367,,67.08416,69.42539,,,,,
,,,,,,,,,
,,,,99.13831,,,,,
,64.48091,,,71.57262,,,,,
,,,,,,98.61012,,,
,,,,,,,,,
92.9256,93.44188,93.06894,93.51998,94.2284,93.96285,94.55588,94.47228,,
,,,98.26508,,,,,,
82.61116,82.98731,83.58961,83.48173,84.45964,84.648,85.05551,85.35088,85.64068,
,,,,,,,,,
,,31.09975,33.56094,,,,33.06889,,
,,,93.30736,,,,,,
,,,,,,,,75.5512,
,,,,,,,,,
,,,98.44221,,,,,,
,,98.257,,,,,,,
,,,,,,,,,
,50.58381,,,,,,,,
,,,,,,,,,
,,,89.24984,91.76601,91.49003,92.47476,92.7076,,
,,61.30972,,,,65.14537,62.14354,,
,,93.11789,,,,,,,
,,,,,,,,,
,,,88.27463,,,,,,
,,,,,,,,,
,,,,15.4567,,,,,
51.07766,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,59.62725,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
86.62114,,86.939,,,,91.9812,93.03861,,
,,,,,,,,,
55.52637,54.89264,55.37519,54.73802,56.76434,55.59499,56.97715,,,
,,94.09412,,,,,,,
,,,,93.84173,,93.70795,94.16234,94.17367,
95.4201,,,,,96.398,,,,
,,,,,99.50313,,96.59374,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,91.96523,,,,,,,
99.99819,,,,,,,,,
,,,94.47705,,,,,,
93.29208,93.75424,93.87092,,,,94.61672,95.0727,,
92.53616,94.59917,94.93201,95.26724,95.90622,96.2849,96.42839,96.69073,96.93023,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
93.98973,94.72429,96.28374,96.40687,96.67859,97.47785,97.74669,,,
,,,98.60429,,,,,,
,,99.68427,,,,,,,
,,65.85227,,68.33103,,,,,
,,,,,,,,,
,,,,,94.42634,,,,
53.51738,,,,,,,,,
,49.69513,,52.05196,,42.8175,,,,
,,95.85733,96.18608,96.36979,96.54808,96.71666,96.82549,97.04959,
,,,,,,,,,
,,,,,32.42617,,,,
83.9513,84.10289,84.49272,85.49399,,86.76758,,87.96985,,
,,,,,,,,,
,,,,,,,,,
,,,97.96241,,,,,98.84151,
,,,,,,,,,
26.83128,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
69.53639,,,,90.1431,,,,,
94.62094,,94.67575,,92.86866,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,83.09829,,,,,,,
,,,,,,,,,
,,93.95423,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,26.00299,22.31155,
,,,,,,,,,
,,,,,,,,,
,57.09338,,60.40994,,,,63.74562,,
,,96.43091,,,93.70207,,92.86831,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,58.30898,,,,,,,
,,,,,,,,,
,,,99.38553,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
77.56113,,79.13058,79.65391,80.21875,,79.03643,,,
,90.81672,92.6606,94.10609,94.91975,95.25666,95.43963,95.60142,,
,,,,,,,,,
,,67.8007,,78.10059,,,77.88723,,
,,73.21188,,70.19822,,,,,
,,,,99.97435,,,,,
93.56802,93.78637,93.84457,94.1701,94.30538,94.34268,94.55732,94.78283,94.95296,
98.16356,98.26723,98.07271,98.3359,98.39594,98.36387,98.43593,98.52387,,
,,,,,,,,,
,,,,,99.99486,99.98055,99.98383,,
,,,,,,,,,
,95.51199,,94.77022,,,,96.60522,97.12709,
,,,,,,,,,
,,,,,,,,,
,93.52045,,,,,,,,
,,,,,,,,,
83.83223,84.14787,84.5641,84.59739,85.36389,85.49051,85.80934,86.01721,86.24776,
,,,98.97326,,,,,,
,,,,,,,,,
,,,,,,,,,
,92.89486,92.87732,93.10214,93.72947,,94.1399,94.36792,,
,,83.00767,,,,,,,
,,,83.58271,,,88.69342,,,
80.45383861,84.25275162,83.22505865,86.68521419,81.79392191,83.96331343,82.78891643,87.49585711,86.13587,
